parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles
PAR-010245,PS-EQ-10,02/02/2024,04:00,2.5,Operativa,Espera de insumos (reactivos/bolas de molienda),1216.0
PAR-008785,PS_EQ_05,2026-01-09,01:00,17.0,Correctiva,Atoro de mineral / obstrucción,31384.0
PAR-009455, PS-EQ-07,23/09/2025,17:00,-1.1, operativa,Espera de insumos (reactivos/bolas de molienda),573.0
PAR-007456,PS-EQ-01 ,18/04/2026,10:00,1.2,Correctiva ,Falla mecánica - desgaste de componente,2610.0
PAR-007832,PS-EQ-02	,2026-07-14,07:00,9.5,Correctiva,Falla eléctrica - motor/tablero,18435.0
PAR-008943,PS-EQ-05	,2027-08-10,14:00,2.8,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),1145.0
PAR-007620,PS_EQ_02,2024-03-03,05:00,3.2,Correctiva,Falla mecánica - desgaste de componente,3138.0
PAR-007791,PS-EQ-02,2026-02-11,11:00,3.3, correctiva,Falla de lubricación,3006.0
PAR-010067,PSEQ09,2025-05-23,04:00,4.9,Preventiva ,Mantenimiento programado (plan anual),10291.0
PAR-009847,PS_EQ_08,09/07/2026,02:00,0.5,Correctiva,Atoro de mineral / obstrucción,917.0
PAR-008896,PSEQ05,13/02/2027,07:00,5.7,Correctiva,Atoro de mineral / obstrucción,6696.0
PAR-009634,PS_EQ_08,2024-03-18,17:00,5.8,CORRECTIVA,Falla de lubricación,9164.0
PAR-010500,PS-EQ-10	,2027-09-11,06:00,2.3,Operativa,Espera de insumos (reactivos/bolas de molienda),817.0
PAR-008641,ps-eq-05,2024-06-08,11:00,8.3, preventiva,Mantenimiento programado (plan anual),16899.0
PAR-008917,PS-EQ-05,08/05/2027,16:00,4.7,Preventiva,Mantenimiento programado (plan anual),8968.0
PAR-009037, PS-EQ-06,10/09/2024,11:00,7.0,Preventiva,Mantenimiento programado (plan anual),10272.0
PAR-008186,PS_EQ_03,2027-03-27,02:00,5.6,Preventiva,Mantenimiento programado (plan anual),9912.0
PAR-010288,ps-eq-10,26/09/2024,03:00,11.6,CORRECTIVA,Falla eléctrica - motor/tablero,11192.0
PAR-010212, PS-EQ-09,16/07/2027,04:00,3.5,Correctiva ,,5970.0
PAR-009067,ps-eq-06,2024-12-30,14:00,5.5,Preventiva,Mantenimiento programado (plan anual),9055.0
PAR-007283,PS-EQ-01	,2024-03-23,03:00,16.8, correctiva,Falla eléctrica - motor/tablero,28701.0
PAR-008705,PS_EQ_05,2025-01-21,15:00,6.5,Correctiva ,Falla de lubricación,5455.0
PAR-008129,PS-EQ-03	,17/04/2026,17:00,1.0, operativa,Falta de mineral en cancha,415.0
PAR-008893,PS_EQ_05,09/02/2027,02:00,14.6,Correctiva ,,16404.0
PAR-009581,PSEQ07,2027-08-13,10:00,0.8,CORRECTIVA,Falla de lubricación,663.0
PAR-007928,PS_EQ_02,2027-05-28,01:00,20.0,Correctiva,Falla de lubricación,32649.0
PAR-008662,PS-EQ-05 ,2024-08-27,13:00,9.0,Preventiva,Mantenimiento programado (plan anual),14668.0
PAR-009790,ps-eq-08,2025-12-22,08:00,5.8,Preventiva,Mantenimiento programado (plan anual),9792.0
PAR-007399,PS_EQ_01,2025-09-18,07:00,8.7,Preventiva ,Mantenimiento programado (plan anual),
PAR-009967, PS-EQ-09,2024-01-01,18:00,0.5,Correctiva,Atoro de mineral / obstrucción,632.0
PAR-010443,PSEQ10,19/01/2027,18:00,3.4,CORRECTIVA,Falla mecánica - desgaste de componente,6628.0
PAR-008777,PS_EQ_05,2025-12-19,05:00,9.5, correctiva,Falla mecánica - desgaste de componente,15683.0
PAR-009607, PS-EQ-07,20/12/2027,18:00,2.5, operativa,Falta de mineral en cancha,1467.0
PAR-008442, PS-EQ-04,2026-05-01,11:00,2.2,Operativa,Corte de energía externo,898.0
PAR-009783,ps-eq-08,2025-12-04,03:00,7.8, preventiva,Mantenimiento programado (plan anual),6362.0
PAR-008248,PS-EQ-04,24/02/2024,09:00,11.0,CORRECTIVA,Falla mecánica - desgaste de componente,22549.0
PAR-009812,ps-eq-08,2026-03-03,00:00,20.0,Correctiva,Atoro de mineral / obstrucción,30918.0
PAR-009143,PS_EQ_06,2025-11-11,04:00,11.5,Correctiva ,Atoro de mineral / obstrucción,19741.0
PAR-010057,PS_EQ_09,30/03/2025,10:00,2.2,Operativa ,Falta de mineral en cancha,1283.0
PAR-009541,PS-EQ-07,2026-12-18,08:00,5.3, preventiva,Mantenimiento programado (plan anual),8283.0
PAR-009247,PS-EQ-06,2026-12-16,20:00,2.5,Correctiva ,Falla de lubricación,2105.0
PAR-010104,ps-eq-09,2025-11-01,13:00,4.1,PREVENTIVA,,6413.0
PAR-008222,PS-EQ-03	,2027-10-14,15:00,4.1, correctiva,Falla mecánica - desgaste de componente,8473.0
PAR-008119,PS-EQ-03	,2026-01-19,06:00,8.2,Preventiva,Mantenimiento programado (plan anual),16025.0
PAR-007315,PS-EQ-01,25/08/2024,12:00,8.1,Correctiva,Falla de lubricación,15665.0
PAR-009103, PS-EQ-06,03/06/2025,11:00,6.9,Preventiva,Mantenimiento programado (plan anual),14542.0
PAR-009652,PSEQ08,2024-06-11,11:00,8.0,Correctiva,Falla de lubricación,15727.0
PAR-009503,ps-eq-07,30/04/2026,09:00,1.4,Operativa ,Condiciones climáticas adversas,338.0
PAR-009865,PS-EQ-08	,2026-09-29,15:00,1.6,Operativa ,Corte de energía externo,563.0
PAR-009883,PS-EQ-08 ,24/12/2026,06:00,7.8,Preventiva ,Mantenimiento programado (plan anual),9100.0
PAR-010153,PS-EQ-09 ,2026-09-09,20:00,2.8,Operativa,Condiciones climáticas adversas,
PAR-008255,PS-EQ-04,2024-03-20,18:00,4.4,CORRECTIVA,Falla de lubricación,4240.0
PAR-009068,ps-eq-06,2025-01-02,21:00,1.8,Correctiva,Atoro de mineral / obstrucción,2537.0
PAR-007583,PS-EQ-01 ,2027-09-16,00:00,4.6, correctiva,Falla mecánica - desgaste de componente,9752.0
PAR-008072,ps-eq-03,2025-04-23,09:00,8.3,Preventiva ,,12727.0
PAR-010299, PS-EQ-10,12/11/2024,09:00,5.5,Preventiva ,Mantenimiento programado (plan anual),7885.0
PAR-009074,PS-EQ-06 ,2025-01-23,07:00,8.0,Correctiva ,Rotura de faja/correa,11508.0
PAR-009643,PS-EQ-08	,2024-04-26,20:00,2.3,Correctiva,Rotura de faja/correa,3477.0
PAR-007725,PS-EQ-02 ,2025-05-08,07:00,0.9,Operativa,Espera de insumos (reactivos/bolas de molienda),395.0
PAR-009091,PS-EQ-06	,25/03/2025,01:00,9.0,Preventiva,Mantenimiento programado (plan anual),12943.0
PAR-007729,PS-EQ-02,20/05/2025,07:00,2.9,Operativa,Condiciones climáticas adversas,1596.0
PAR-010033, PS-EQ-09,2024-12-23,13:00,8.9,Preventiva,Mantenimiento programado (plan anual),10262.0
PAR-010491, PS-EQ-10,2027-08-12,01:00,3.4, correctiva,Falla mecánica - desgaste de componente,6137.0
PAR-009298, PS-EQ-06,06/08/2027,02:00,0.5,Operativa,Espera de insumos (reactivos/bolas de molienda),215.0
PAR-007711,PS_EQ_02,21/03/2025,15:00,1.5, operativa,Espera de insumos (reactivos/bolas de molienda),597.0
PAR-009150,PS_EQ_06,2025-12-16,07:00,6.7,Correctiva,Rotura de faja/correa,5862.0
PAR-010076,PS-EQ-09	,2025-07-01,01:00,14.5,CORRECTIVA,Falla de lubricación,17739.0
PAR-008359,ps-eq-04,23/05/2025,21:00,0.8,Operativa,Condiciones climáticas adversas,475.0
PAR-009545,PS_EQ_07,2027-01-04,10:00,5.3, preventiva,Mantenimiento programado (plan anual),10087.0
PAR-009008,PS_EQ_06,2024-05-25,21:00,1.3,Correctiva,Falla mecánica - desgaste de componente,1290.0
PAR-010496,PS-EQ-10,2027-08-30,02:00,2.5, operativa,Condiciones climáticas adversas,1496.0
PAR-008147,PS_EQ_03,09/08/2026,08:00,6.8,Preventiva,Mantenimiento programado (plan anual),
PAR-007961,PS_EQ_02,2027-09-10,11:00,1.1,OPERATIVA,Condiciones climáticas adversas,418.0
PAR-009736,PS-EQ-08	,27/05/2025,04:00,4.3,Correctiva ,Falla mecánica - desgaste de componente,3643.0
PAR-009432,PS-EQ-07	,2025-06-19,18:00,2.8,Operativa ,Falta de mineral en cancha,686.0
PAR-007970,PSEQ02,2027-10-22,01:00,12.2,Correctiva,Falla eléctrica - motor/tablero,12284.0
PAR-009843,PSEQ08,2026-07-02,06:00,9.6, correctiva,Falla mecánica - desgaste de componente,19591.0
PAR-010175,PS-EQ-09 ,2026-12-20,09:00,0.5,Correctiva,Falla mecánica - desgaste de componente,597.0
PAR-009726,PS-EQ-08	,28/04/2025,04:00,9.3,Correctiva,Falla mecánica - desgaste de componente,14094.0
PAR-009871, PS-EQ-08,2026-11-02,12:00,3.9,Correctiva,Falla mecánica - desgaste de componente,3756.0
PAR-010180, PS-EQ-09,11/01/2027,11:00,4.9,Preventiva ,Mantenimiento programado (plan anual),
PAR-010257,PS-EQ-10 ,29/03/2024,07:00,7.0,Preventiva,Mantenimiento programado (plan anual),10483.0
PAR-010207,PS-EQ-09 ,2027-06-11,10:00,6.8,PREVENTIVA,Mantenimiento programado (plan anual),14807.0
PAR-010181, PS-EQ-09,2027-01-20,14:00,2.3,Correctiva ,Falla mecánica - desgaste de componente,4304.0
PAR-010406, PS-EQ-10,2026-05-27,01:00,5.1, preventiva,Mantenimiento programado (plan anual),7846.0
PAR-010484,PSEQ10,2027-07-21,09:00,2.2,Operativa,Falta de mineral en cancha,1301.0
PAR-008800,PS-EQ-05	,2026-03-19,01:00,16.8,CORRECTIVA,Falla de lubricación,33190.0
PAR-009377,PS_EQ_07,03/07/2024,15:00,6.9,Preventiva ,Mantenimiento programado (plan anual),12176.0
PAR-007896,PS-EQ-02,04/02/2027,11:00,0.5,Correctiva ,Atoro de mineral / obstrucción,455.0
PAR-008479,PS-EQ-04 ,09/10/2026,05:00,2.2,Operativa ,Falta de mineral en cancha,1161.0
PAR-010183,PS_EQ_09,2027-01-23,04:00,1.8, operativa,Condiciones climáticas adversas,451.0
PAR-007270,PS_EQ_01,2024-02-04,07:00,0.6,Operativa ,Condiciones climáticas adversas,355.0
PAR-007977,PS-EQ-02,16/11/2027,09:00,10.0,Correctiva ,Atoro de mineral / obstrucción,20335.0
PAR-009112,PS-EQ-06	,10/07/2025,13:00,2.5, operativa,Falta de mineral en cancha,1422.0
PAR-008301, PS-EQ-04,2024-10-13,19:00,3.0,OPERATIVA,Falta de mineral en cancha,766.0
PAR-009330, PS-EQ-06,2027-11-27,14:00,1.4,Correctiva ,Atoro de mineral / obstrucción,2412.0
PAR-009594, PS-EQ-07,01/10/2027,06:00,2.0,Operativa ,Espera de insumos (reactivos/bolas de molienda),1196.0
PAR-009474,ps-eq-07,14/01/2026,02:00,1.7, operativa,Condiciones climáticas adversas,529.0
PAR-010485,PS-EQ-10	,29/07/2027,00:00,0.5,Correctiva,Falla mecánica - desgaste de componente,762.0
PAR-008428,PS-EQ-04 ,27/03/2026,21:00,0.6, correctiva,Falla eléctrica - motor/tablero,661.0
PAR-010407, PS-EQ-10,31/05/2026,09:00,3.2,Correctiva,Falla de lubricación,6788.0
PAR-009231,PSEQ06,2026-10-29,11:00,1.1,Operativa,Falta de mineral en cancha,310.0
PAR-010310,PS-EQ-10,2024-12-26,17:00,1.4,OPERATIVA,Corte de energía externo,452.0
PAR-009635, PS-EQ-08,2024-03-19,10:00,2.1,Operativa ,Espera de insumos (reactivos/bolas de molienda),983.0
PAR-010157,ps-eq-09,2026-10-02,20:00,0.9,CORRECTIVA,Atoro de mineral / obstrucción,1973.0
PAR-009677,PS-EQ-08,21/09/2024,05:00,1.2,Operativa ,Falta de mineral en cancha,469.0
PAR-009805,PS-EQ-08 ,01/02/2026,10:00,1.7, correctiva,Falla eléctrica - motor/tablero,3060.0
PAR-008627,PSEQ05,2024-04-18,08:00,2.6,Operativa,Condiciones climáticas adversas,
PAR-009419,PSEQ07,2025-04-01,02:00,7.8,CORRECTIVA,Falla de lubricación,10670.0
PAR-007945,PS_EQ_02,15/07/2027,18:00,3.4,Correctiva ,Rotura de faja/correa,5505.0
PAR-007798,PS-EQ-02,2026-03-14,07:00,2.5,Operativa,Espera de insumos (reactivos/bolas de molienda),1335.0
PAR-008187,PS_EQ_03,29/03/2027,22:00,0.8,Operativa,Corte de energía externo,423.0
PAR-007727,ps-eq-02,2025-05-14,11:00,5.4,CORRECTIVA,Falla mecánica - desgaste de componente,5782.0
PAR-007909,PSEQ02,10/04/2027,10:00,10.2,Correctiva,Falla mecánica - desgaste de componente,14560.0
PAR-007484,PS-EQ-01 ,21/07/2026,07:00,6.4,PREVENTIVA,Mantenimiento programado (plan anual),6793.0
PAR-008786,PSEQ05,11/01/2026,12:00,4.4,Correctiva,Falla mecánica - desgaste de componente,7402.0
PAR-007905,PS-EQ-02,31/03/2027,03:00,18.3, correctiva,Falla de lubricación,14897.0
PAR-007380,PS-EQ-01,2025-05-24,18:00,1.6,Operativa,Espera de insumos (reactivos/bolas de molienda),460.0
PAR-009788,PS-EQ-08 ,18/12/2025,00:00,5.2,Correctiva ,Falla mecánica - desgaste de componente,6925.0
PAR-008529,PS-EQ-04 ,2027-04-04,00:00,9.7,Correctiva,Falla de lubricación,8345.0
PAR-008056,PS-EQ-03	,03/02/2025,01:00,1.7,Operativa,Falta de mineral en cancha,984.0
PAR-008146,PS-EQ-03	,25/07/2026,03:00,4.4,Preventiva ,,4990.0
PAR-008430,PS_EQ_04,2026-03-31,10:00,6.8, correctiva,Falla mecánica - desgaste de componente,8653.0
PAR-009511,PS-EQ-07	,18/06/2026,13:00,5.5,CORRECTIVA,Falla mecánica - desgaste de componente,5642.0
PAR-009445,PS-EQ-07,19/08/2025,17:00,3.5, correctiva,Falla eléctrica - motor/tablero,6978.0
PAR-007901,PS_EQ_02,2027-03-14,06:00,4.7,PREVENTIVA,Mantenimiento programado (plan anual),5273.0
PAR-009584,PSEQ07,2027-08-20,00:00,2.4,OPERATIVA,Condiciones climáticas adversas,1277.0
PAR-008635,PS-EQ-05	,18/05/2024,08:00,6.1, preventiva,Mantenimiento programado (plan anual),5177.0
PAR-009244,ps-eq-06,07/12/2026,08:00,1.7,Operativa,,867.0
PAR-008756, PS-EQ-05,14/09/2025,18:00,4.1,Correctiva ,Falla mecánica - desgaste de componente,8274.0
PAR-007524,PS-EQ-01	,2027-01-07,21:00,1.7, correctiva,Falla mecánica - desgaste de componente,2947.0
PAR-010517,ps-eq-10,2027-11-20,18:00,2.7,Operativa,Falta de mineral en cancha,1415.0
PAR-008745,PS-EQ-05 ,2025-08-02,11:00,8.0,Preventiva,Mantenimiento programado (plan anual),9571.0
PAR-007953,PS_EQ_02,19/08/2027,14:00,5.2,Preventiva,Mantenimiento programado (plan anual),5393.0
PAR-008860, PS-EQ-05,11/10/2026,00:00,20.0, correctiva,,
PAR-009925,PS-EQ-08 ,2027-06-29,13:00,5.3, correctiva,Falla de lubricación,7999.0
PAR-008765,PS-EQ-05,26/10/2025,06:00,5.5,Preventiva ,Mantenimiento programado (plan anual),7221.0
PAR-007892,PSEQ02,2027-01-12,17:00,2.5,Operativa ,Falta de mineral en cancha,1222.0
PAR-009595,PS_EQ_07,2027-10-04,08:00,6.4,Preventiva,Mantenimiento programado (plan anual),
PAR-008253,PSEQ04,2024-03-14,04:00,2.3,Operativa,Condiciones climáticas adversas,860.0
PAR-010196,PS-EQ-09	,2027-04-13,07:00,3.3,Correctiva,Falla eléctrica - motor/tablero,5151.0
PAR-009820,PS-EQ-08	,04/04/2026,03:00,0.7,Correctiva ,Falla eléctrica - motor/tablero,1531.0
PAR-008465,PS-EQ-04 ,30/07/2026,14:00,7.8,Preventiva,,15716.0
PAR-007494,PS-EQ-01 ,2026-08-22,14:00,1.5,Operativa ,Condiciones climáticas adversas,321.0
PAR-009244,ps-eq-06,07/12/2026,08:00,1.7,Operativa,,867.0
PAR-007940,ps-eq-02,06/07/2027,03:00,1.8,Operativa,Espera de insumos (reactivos/bolas de molienda),369.0
PAR-008916,PS_EQ_05,2027-05-02,05:00,8.3,Correctiva,Falla eléctrica - motor/tablero,11061.0
PAR-009858,PS-EQ-08,21/08/2026,09:00,8.7,Correctiva,Falla eléctrica - motor/tablero,8674.0
PAR-007939, PS-EQ-02,2027-07-01,16:00,1.3,CORRECTIVA,Falla mecánica - desgaste de componente,2114.0
PAR-007502,PS-EQ-01	,2026-10-21,11:00,6.3, preventiva,Mantenimiento programado (plan anual),12573.0
PAR-009197,PS_EQ_06,19/06/2026,07:00,7.2,Correctiva,Falla mecánica - desgaste de componente,6070.0
PAR-008585,PS_EQ_04,24/11/2027,09:00,3.3,CORRECTIVA,Falla mecánica - desgaste de componente,4931.0
PAR-008652,PSEQ05,2024-07-21,04:00,8.7, preventiva,Mantenimiento programado (plan anual),16128.0
PAR-010392,PSEQ10,2026-02-28,17:00,1.2,Operativa ,Falta de mineral en cancha,286.0
PAR-007417, PS-EQ-01,14/11/2025,07:00,2.1, operativa,Espera de insumos (reactivos/bolas de molienda),975.0
PAR-008735,PS-EQ-05,2025-06-09,09:00,0.5,Correctiva,Atoro de mineral / obstrucción,621.0
PAR-008387,PSEQ04,2025-10-18,00:00,0.9,Operativa,Falta de mineral en cancha,286.0
PAR-009494,PS-EQ-07,25/03/2026,06:00,1.4,Operativa,Falta de mineral en cancha,432.0
PAR-009509,ps-eq-07,11/06/2026,03:00,7.3,Preventiva,,10838.0
PAR-009295,PS-EQ-06,2027-07-31,02:00,1.2, operativa,Falta de mineral en cancha,458.0
PAR-008624,PS-EQ-05,2024-04-10,19:00,1.3,Correctiva ,Falla de lubricación,1288.0
PAR-007998,PSEQ03,2024-03-19,02:00,2.5,Operativa ,Espera de insumos (reactivos/bolas de molienda),1235.0
PAR-010433,ps-eq-10,2026-10-26,20:00,2.0,Correctiva,Falla de lubricación,4354.0
PAR-009333,PSEQ06,2027-12-17,02:00,20.0,Correctiva,Rotura de faja/correa,34341.0
PAR-008540,PSEQ04,2027-05-09,02:00,9.8, correctiva,Falla eléctrica - motor/tablero,15815.0
PAR-009000,PS-EQ-06,2024-05-09,07:00,15.9, correctiva,Rotura de faja/correa,15530.0
PAR-010218,PS-EQ-09 ,07/09/2027,08:00,0.9,Operativa ,Condiciones climáticas adversas,534.0
PAR-010526, PS-EQ-10,29/12/2027,11:00,2.9,Correctiva,Falla de lubricaciÃ³n,4168.0
PAR-009464,ps-eq-07,2025-11-22,12:00,1.2,Operativa ,Condiciones climáticas adversas,689.0
PAR-008688,PSEQ05,2024-11-28,02:00,2.3,Correctiva,Rotura de faja/correa,3198.0
PAR-007742,PS_EQ_02,2025-07-17,02:00,20.0,CORRECTIVA,Atoro de mineral / obstrucción,36303.0
PAR-008176,PS-EQ-03,17/01/2027,05:00,1.8,Operativa,Espera de insumos (reactivos/bolas de molienda),830.0
PAR-008095,PS-EQ-03,2025-09-03,04:00,7.0,PREVENTIVA,Mantenimiento programado (plan anual),12421.0
PAR-007634,PSEQ02,2024-05-14,01:00,7.4,PREVENTIVA,Mantenimiento programado (plan anual),12448.0
PAR-010038,ps-eq-09,2025-01-11,00:00,2.7,Operativa ,Corte de energía externo,587.0
PAR-007829,PSEQ02,2026-06-29,06:00,8.6,Preventiva ,Mantenimiento programado (plan anual),15708.0
PAR-008284,PS-EQ-04	,2024-07-25,06:00,9.0, preventiva,Mantenimiento programado (plan anual),13572.0
PAR-008895,PS_EQ_05,2027-02-11,11:00,0.8,Operativa,Corte de energía externo,220.0
PAR-009502,PSEQ07,21/04/2026,20:00,2.5,Operativa ,Falta de mineral en cancha,1429.0
PAR-009519,PS-EQ-07 ,09/08/2026,15:00,2.9,OPERATIVA,Corte de energía externo,1621.0
PAR-008799, PS-EQ-05,2026-03-17,02:00,11.2,Correctiva,Falla eléctrica - motor/tablero,18978.0
PAR-008141, PS-EQ-03,2026-06-08,04:00,2.0,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),1141.0
PAR-010171,PS_EQ_09,2026-11-20,01:00,5.4,Preventiva ,Mantenimiento programado (plan anual),8258.0
PAR-007830,ps-eq-02,03/07/2026,16:00,3.3,Correctiva,Falla de lubricación,6741.0
PAR-008681,ps-eq-05,06/11/2024,07:00,2.5,OPERATIVA,Corte de energía externo,1046.0
PAR-007789,PS_EQ_02,2026-02-06,05:00,1.3,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),509.0
PAR-008361,PS-EQ-04 ,2025-06-14,03:00,1.4, operativa,,590.0
PAR-007582,PS_EQ_01,15/09/2027,08:00,11.6, correctiva,Atoro de mineral / obstrucción,15426.0
PAR-007783,PSEQ02,19/01/2026,07:00,1.6,OPERATIVA,,447.0
PAR-009647,PS-EQ-08	,2024-05-26,10:00,1.0,Operativa,Falta de mineral en cancha,261.0
PAR-010474,PS_EQ_10,2027-05-19,11:00,3.0,Correctiva,Falla de lubricación,4594.0
PAR-009409,PS-EQ-07,04/02/2025,18:00,0.5,CORRECTIVA,Falla mecánica - desgaste de componente,883.0
PAR-010123,PS-EQ-09,18/03/2026,04:00,0.8, correctiva,Falla elÃ©ctrica - motor/tablero,1648.0
PAR-008487,PSEQ04,2026-11-05,19:00,2.3, operativa,Corte de energía externo,814.0
PAR-009418,ps-eq-07,2025-03-19,12:00,8.5,PREVENTIVA,Mantenimiento programado (plan anual),11642.0
PAR-010295,PSEQ10,2024-11-03,03:00,2.7,OPERATIVA,Corte de energía externo,608.0
PAR-009258,PS_EQ_06,08/02/2027,08:00,0.5,CORRECTIVA,Rotura de faja/correa,817.0
PAR-008166,PSEQ03,2026-12-08,08:00,7.1,Correctiva ,Atoro de mineral / obstrucción,11482.0
PAR-009287,PSEQ06,20/06/2027,02:00,1.3,Correctiva,Falla de lubricación,1736.0
PAR-009024,PS-EQ-06	,2024-07-21,00:00,1.2, operativa,Corte de energía externo,489.0
PAR-010368,PSEQ10,03/11/2025,09:00,2.3, operativa,Condiciones climáticas adversas,1004.0
PAR-009975,PS_EQ_09,2024-02-07,16:00,6.8, preventiva,Mantenimiento programado (plan anual),6954.0
PAR-008577,PSEQ04,30/10/2027,21:00,1.0,Correctiva,Falla mecánica - desgaste de componente,1598.0
PAR-007370, PS-EQ-01,2025-04-24,18:00,0.7,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),272.0
PAR-010286,ps-eq-10,07/09/2024,16:00,0.5, correctiva,Falla eléctrica - motor/tablero,899.0
PAR-009614,PS-EQ-08,2024-01-08,12:00,1.0,Operativa ,Falta de mineral en cancha,470.0
PAR-008910,ps-eq-05,16/04/2027,10:00,0.9, operativa,Espera de insumos (reactivos/bolas de molienda),188.0
PAR-007803,ps-eq-02,2026-03-31,19:00,1.6,OPERATIVA,Condiciones climáticas adversas,349.0
PAR-010163,ps-eq-09,2026-10-30,18:00,4.3,Preventiva ,Mantenimiento programado (plan anual),7190.0
PAR-007325,PS-EQ-01 ,2024-10-01,06:00,3.7,Correctiva,Atoro de mineral / obstrucción,7258.0
PAR-007504,PS-EQ-01	,2026-10-28,04:00,1.5,Operativa ,Falta de mineral en cancha,340.0
PAR-008791,PS-EQ-05 ,2026-02-03,19:00,0.9,CORRECTIVA,Falla eléctrica - motor/tablero,1922.0
PAR-009457,PS-EQ-07,2025-09-27,12:00,1.8,OPERATIVA,Corte de energía externo,796.0
PAR-009604,PS-EQ-07	,2027-12-03,00:00,1.8,Operativa,Falta de mineral en cancha,503.0
PAR-007910,PS_EQ_02,2027-04-11,19:00,1.8, correctiva,Rotura de faja/correa,3046.0
PAR-007387,PS_EQ_01,2025-07-01,16:00,1.1,Operativa,Falta de mineral en cancha,410.0
PAR-009782,PSEQ08,2025-12-01,10:00,4.7,Correctiva ,Falla mecánica - desgaste de componente,8256.0
PAR-007534,ps-eq-01,11/02/2027,19:00,2.6,OPERATIVA,Corte de energía externo,1121.0
PAR-010477,ps-eq-10,12/06/2027,01:00,18.6,Correctiva ,Rotura de faja/correa,36500.0
PAR-008302,PS-EQ-04 ,2024-10-16,03:00,7.4,Correctiva ,Falla eléctrica - motor/tablero,10626.0
PAR-007682, PS-EQ-02,2024-12-03,14:00,1.9, operativa,Corte de energía externo,510.0
PAR-007934,PS-EQ-02	,2027-06-24,16:00,5.7,Preventiva,Mantenimiento programado (plan anual),5228.0
PAR-008349,PSEQ04,06/04/2025,04:00,6.8,Preventiva,Mantenimiento programado (plan anual),
